"lat","long","Jan","Feb","state"
35,-92,2.32,3.09,"arkansas"
40,-121,2.18,3.1,"california"
38,-103,2.48,3.29,"colorado"
48,-122,1.25,2.16,"washington"
41,-91,1.89,2.66,"iowa"
42,-75,1.72,2.58,"new york"
34,-79,2.5,3.19,"south carolina"
35,-99,2.7,3.37,"oklahoma"
48,-98,1.36,2.29,"north dakota"
38,-112,2.55,3.34,"utah"
29,-97,2.81,3.33,"texas"
41,-86,1.84,2.6,"indiana"
42,-100,1.92,2.72,"nebraska"
45,-90,1.62,2.58,"wisconsin"
47,-111,1.39,2.31,"montana"
32,-110,3.4,4.23,"arizona"
38,-89,1.98,2.75,"illinois"
41,-109,2.3,3.2,"wyoming"
42,-85,1.79,2.57,"michigan"
45,-97,1.6,2.42,"south dakota"
35,-81,2.45,3.15,"south carolina"
47,-102,1.42,2.29,"north dakota"
48,-112,1.3,2.22,"montana"
38,-98,2.32,3,"kansas"
41,-117,2.07,2.92,"nevada"
41,-104,2.09,2.95,"colorado"
42,-110,2.11,3.01,"wyoming"
45,-121,1.29,2.22,"oregon"
39,-78,1.93,2.71,"virginia"
45,-108,1.6,2.51,"montana"
48,-101,1.32,2.21,"north dakota"
32,-108,3.46,4.26,"new mexico"
33,-106,3.27,4.08,"new mexico"
36,-96,2.39,3.12,"oklahoma"
42,-103,1.94,2.8,"nebraska"
37,-117,2.68,3.66,"nevada"
40,-77,1.88,2.72,"pennsylvania"
45,-115,1.67,2.64,"idaho"
32,-97,2.71,3.42,"texas"
33,-113,3.25,4.1,"arizona"
36,-85,2.09,2.73,"tennessee"
37,-93,2.2,2.9,"missouri"
32,-90,2.57,3.24,"mississippi"
33,-92,2.46,3.15,"louisiana"
36,-110,2.87,3.75,"arizona"
37,-88,2.01,2.81,"kentucky"
39,-107,2.53,3.38,"colorado"
43,-71,1.73,2.66,"new hampshire"
33,-99,2.87,3.53,"texas"
38,-118,2.58,3.53,"nevada"
36,-107,2.89,3.66,"new mexico"
37,-111,2.81,3.69,"utah"
42,-122,1.93,2.89,"california"
46,-119,1.33,2.32,"washington"
39,-114,2.47,3.35,"utah"
43,-94,1.75,2.58,"iowa"
44,-72,1.66,2.58,"new hampshire"
33,-94,2.49,3.17,"louisiana"
46,-95,1.58,2.53,"minnesota"
37,-114,2.65,3.43,"utah"
34,-118,3.04,3.86,"california"
39,-89,1.87,2.58,"illinois"
40,-105,2.23,3.17,"colorado"
43,-85,1.74,2.6,"michigan"
46,-88,1.4,2.32,"michigan"
37,-105,2.77,3.66,"colorado"
39,-88,1.84,2.59,"illinois"
40,-114,2.25,3.22,"utah"
43,-92,1.77,2.62,"iowa"
